Quarter,Jobs
Q2 2001,1529833
Q2 2002,1399878
Q2 2003,1326080
Q2 2004,1317909
Q2 2005,1326903
Q2 2006,1360110
Q2 2007,1385809
Q2 2008,1397293
Q2 2009,1308755
Q2 2010,1292138
Q2 2011,1325064
Q2 2012,1376826
Q2 2013,1423491
Q2 2014,1481442
Q2 2015,1545805
Q2 2016,1591426
Q2 2017,1638698
Q2 2018,1674255
Q2 2019,1703228
