Jobs, City
18.1, "Charlotte, NC"
13.3, "Salt Lake City, UT"
15.5, "Portland, OR"
10.5, "Orlando, FL"
88.5, "San Francisco Bay Area"
25.3, "Denver, CO"
31.9, "Atlanta, GA"
10.6, "Tampa, FL"
10.9, "Kansas City, MO"
30.7, "Seattle, WA"
44.8, "New York, NY"
13.4, "Detroit, MI"
19.7, "Los Angeles, CA"
23.0, "Dallas/Fort Worth, TX"
23.0, "San Diego, CA"
13.4, "Philadephia, PA"
15.8, "Chicago, IL"
