Years,Numbers
'98,67
'99,149
'00,111
'01,52
'02,55
'03,79
'04,96
'05,140
'06,198
'07,267
'08,292
'09,336
'10,592
'11,798
'12,993
'13,1164
'14,1409
'15,1420
'16,1294
'17,1129
'18,739
'19,208
