Years,Numbers
'98,29
'99,62
'00,53
'01,17
'02,25
'03,31
'04,40
'05,56
'06,80
'07,92
'08,96
'09,95
'10,180
'11,228
'12,293
'13,306
'14,381
'15,374
'16,306
'17,265
'18,164
'19,45
