Years,SV,SF
1998,155,59
1999,314,92
2000,298,44
2001,162,50
2002,259,45
2003,253,72
2004,336,82
2005,356,158
2006,382,225
2007,380,308
2008,334,344
2009,384,417
2010,586,601
2011,700,961
2012,840,1206
2013,813,1194
2014,829,1024
2015,672,938
2016,419,702
2017,263,382
2018,46,101
