Year,Rate,Percentages
2013,GradRate,84.0
2013,CSURate,51.7
2013,DropRate,9.6
2016,GradRate,85.5
2016,CSURate,54.2
2016,DropRate,9.8
2019,GradRate,87.1
2019,CSURate,56.0
2019,DropRate,8.1
