Years,SilNumbers,UsPercent
2000,10156,3.7
2001,10120,3.6
2002,10118,3.5
2003,10817,3.5
2004,11200,3.5
2005,11522,3.6
2006,11341,3.5
2007,11429,3.5
2008,11585,3.5
2009,11869,3.6
2010,12054,3.4
2011,12449,3.3
2012,13263,3.3
2013,13690,3.2
2014,14228,3.1
2015,16141,3.3
2016,17721,3.4
2017,17809,3.3
2018,18695,3.3
