Years,CANumbers,SFNumbers,SVNumbers
98,67,67,67
99,149,149,149
00,111,111,111
01,52,52,52
02,55,55,55
03,79,79,79
04,96,96,96
05,140,140,140
06,198,198,198
07,267,267,267
08,292,292,292
09,336,336,336
10,592,592,592
11,798,798,798
12,993,993,993
13,1164,1164,1164
14,1409,1409,1409
15,1420,1420,1420
16,1294,1294,1294
17,1129,1129,1129
18,739,739,739
19,208,208,208
